"ID","AppStore","PriceSensitive","WhyDownload","Gender","Age","Nationality","Education","YearsEdu","Occupation","Currency","HH.Income"
"907","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"908","Android","Yes",NA,"Female","41","Spanish","4","16","Sales","EUR","Prefer not to say"
"909","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910","iOS","Yes",NA,"Male","57","German","6","21","Protective Svcs","EUR","5"
"911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912","Not sure",NA,"<U+306A><U+3057>","Male","73","Japanese","3","68","Other","JPY","5"
"913","Android","Yes","WHATSAPP","Male","25","Indian","5","19","Student","INR","1"
"914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915","iOS","Yes",NA,"Female","19","Australian","2","15","Student","AUD","Prefer not to say"
"916","Android","Yes",NA,"Female","45","Spanish","4","14","Prsn Care & Svcs","EUR","3"
"917","Android","Yes",NA,"Male","66","Japanese","7","22","Mgmt","JPY","Prefer not to say"
"918","Nokia",NA,NA,"Male","35","Spanish","6","22","Edu, Trng & Lib","GBP","5"
"919","Blackberry","Yes","Flash Fruit","Female","17","Russian","2","12","Student","RUB","Prefer not to say"
"920","Nokia",NA,"no se","Male","63","Spanish","1","10","Mgmt","EUR","6"
"921","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"926","Samsung",NA,NA,"Male","54","Other","6","20","Sales","EUR","7"
"927","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"928","Not sure",NA,NA,"Male","40","German","2","9","Production","EUR","3"
"929","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"931","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932","iOS",NA,"photogene","Male","40","French","6","20","Food Prep & Srv","EUR","4"
"933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","Android",NA,NA,"Female","55","French","5","17","Off & Admin Sup","EUR","5"
"935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937","Android","Yes","Poweramp","Male","33","Russian","4","19","Sales","RUB","3"
"938","iOS",NA,"ebay","Female","56","German","2","20","Sales","EUR","3"
"939","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"940","Other","Yes","<U+7121><U+3057><U+3002>","Male","67","Japanese","5","17","Mgmt","JPY","8"
"941","Windows","Yes","ll","Male","49","Russian","4","11","Constrn & Ext","INR","11"
"942","Nokia","Yes","slide unlock","Female","45","French","6","18","Arts, Entmt & Sports","EUR","2"
"943","iOS","Yes","mSecure","Male","49","Italian","6","24","Biz & Fin Ops","EUR","7"
"944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","Samsung","Yes",NA,"Female","47","German","4","3","Transport","EUR","5"
"946","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"947","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"948","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"950","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"951","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"952","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"953","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"954","Android","Yes","?","Female","54","German","7","20","Edu, Trng & Lib","EUR","5"
"955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"957","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"958","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"959","Not sure",NA,"0","Female","60","French","2","12","Other","EUR","4"
"960","Android","Yes",NA,"Female","48","Spanish","2","17","Food Prep & Srv","EUR","1"
"961","Not sure",NA,"<U+4F7F><U+7528><U+3057><U+306A><U+3044>","Male","68","Japanese","6","17","Mgmt","JPY","6"
"962","Windows",NA,NA,"Female","31","Italian","3","11","Off & Admin Sup","EUR","4"
"963","iOS","Yes",NA,"Male","59","Australian","2","10","Mgmt","AUD","3"
"964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"965","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"966","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967","Blackberry","Yes",NA,"Female","29","Spanish","2","14","Other","EUR","4"
"968","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"969","Blackberry","Yes",NA,"Male","73","British","2","10","Off & Admin Sup","GBP","4"
"970","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"971","Nokia",NA,NA,"Female","39","Spanish","5","18","Sales","EUR","4"
"972","iOS","Yes","whatsapp","Female","26","Italian","6","21","Cmty & Soc Svcs","EUR","Prefer not to say"
"973","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"975","iOS",NA,"MIROIR","Male","50","French","2","10","Other","EUR","2"
"976","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"977","Nokia","Yes","appliweb","Female","40","French","6","16","Life, Phys & Soc Sci","EUR","2"
"978","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"979","Not sure",NA,NA,"Female","63","French","2","13","Other","EUR","3"
"980","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"981","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"982","Android","Yes",NA,"Male","64","British","6","20","Healthcare Pract & Tech","GBP","5"
"983","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"984","Nokia","Yes","ka","Male","36","German","2","3","Production","EUR","7"
"985","Samsung","Yes","music app","Male","53","Australian","5","17","Mgmt","AUD","Prefer not to say"
"986","iOS","Yes","can't remember","Female","42","Australian","4","20","Other","AUD","7"
"987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"989","Android",NA,NA,"Female","36","Australian","3","15","Legal","AUD","7"
"990","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"991","Nokia","Yes","NO ME ACUERDO","Female","35","Spanish","5","20","Healthcare Pract & Tech","EUR","5"
"992","Other",NA,"<U+4E0D><U+660E>","Male","70","Japanese","5","16","Other","JPY","1"
"993","Nokia","Yes","iswigo","Male","40","French","6","15","Off & Admin Sup","EUR","6"
"994","Android",NA,"juegos de poker","Male","41","Other","5","20","Cmty & Soc Svcs","EUR","3"
"995","Nokia",NA,"ok","Male","42","Italian","3","15","Cmty & Soc Svcs","EUR","4"
"996","Samsung","Yes",NA,"Female","67","German","4","20","Healthcare Pract & Tech","EUR","3"
"997","Android","Yes",NA,"Male","70","British","7","19","Edu, Trng & Lib","GBP","5"
"998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"999","iOS","Yes",NA,"Female","55","Australian","3","14","Off & Admin Sup","AUD","Prefer not to say"
"1000","Other","Yes",NA,"Male","77","Japanese","5","72","Mgmt","JPY","5"
"1001","Not sure",NA,NA,"Female","50","Australian","2","10","Production","AUD","3"
"1002","Not sure",NA,NA,"Male","72","Japanese","5","16","Other","JPY","5"
"1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1004","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1005","Do not use apps","Yes","NESSUNA","Male","38","Italian","6","22","Arch & Eng","EUR","5"
"1006","Android","Yes","runtastic","Female","20","French","6","19","Student","EUR","1"
"1007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1008","Nokia","Yes","weiß nicht","Male","45","German","2","16","Transport","EUR","5"
"1009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1010","Not sure",NA,NA,"Male","69","British","2","11","Off & Admin Sup","GBP","Prefer not to say"
"1011","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012","Nokia","Yes","quick ofice","Female","44","Spanish","5","20","Edu, Trng & Lib","EUR","5"
"1013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014","Android",NA,"X Cleaner","Male","24","German","5","15","Food Prep & Srv","EUR","6"
"1015","Nokia",NA,"scoialnetwork","Male","26","Indian","6","18","Comp & Math","INR","7"
"1016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1017","Android","Yes",NA,"Female","16","Indian","2","11","Food Prep & Srv","GBP","Prefer not to say"
"1018","iOS","Yes","<U+044D><U+0442><U+043E> <U+0438><U+0433><U+0440><U+0430> , <U+043E><U+0434><U+043D><U+0430> <U+0438><U+0437> <U+0432><U+0435><U+0440><U+0441><U+0438><U+0439> Angry birds","Female","43","Russian","3","17","Edu, Trng & Lib","RUB","4"
"1019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1020","Samsung","Yes",NA,"Female","38","Italian","3","5","Sales","EUR","Prefer not to say"
"1021","Android",NA,"FIFA 12","Male","55","German","6","18","Off & Admin Sup","EUR","5"
"1022","Other",NA,NA,"Male","17","Japanese","2","13","Student","JPY","7"
"1023","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1024","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1025","Do not use apps",NA,"<U+7121><U+3057>","Male","66","Japanese","5","18","Comp & Math","JPY","8"
"1026","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1027","Samsung",NA,NA,"Male","47","German","2","16","Transport","EUR","2"
"1028","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1029","Samsung",NA,"smart office 2","Female","39","Russian","3","15","Comp & Math","RUB","3"
"1030","Samsung",NA,"xx","Male","54","French","3","15","Food Prep & Srv","EUR","4"
"1031","Android","Yes",NA,"Female","38","Italian","6","21","Life, Phys & Soc Sci","EUR","6"
"1032","Nokia","Yes","je c plus","Male","44","French","2","17","Edu, Trng & Lib","EUR","3"
"1033","Not sure",NA,"non ricordo","Female","43","Italian","8","14","Other","EUR","4"
"1034","iOS","Yes",NA,"Female","22","Australian","5","16","Student","AUD","7"
"1035","iOS","Yes",NA,"Female","57","Australian","5","16","Healthcare Pract & Tech","AUD","4"
"1036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1039","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1040","Android","Yes","waths app","Female","47","German","4","20","Off & Admin Sup","EUR","3"
"1041","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1042","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043","Android","Yes",NA,"Female","25","British","2","13","Off & Admin Sup","GBP","3"
"1044","Samsung",NA,NA,"Female","30","German","2","13","Sales","EUR","4"
"1045","Android",NA,NA,"Male","50","Italian","3","13","Off & Admin Sup","EUR","4"
"1046","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1047","iOS","Yes","whatapp","Female","56","French","5","10","Mgmt","EUR","Prefer not to say"
"1048","Android",NA,NA,"Female","19","Chinese","2","14","Student","CNY","1"
